scenario,bundle,algorithm,best_objective,mean_objective,mean_runtime,delta_vs_best
baseline:med42,baseline,bayes,-32235.69352,-36946.53419880001,8.698133333333335,0.0
baseline:med42,baseline,grid,-34102.19373400001,-36802.93872800001,8.704,-1866.500214000007
baseline:med42,baseline,ils,-36886.632616,-36886.632616,34.865,-4650.939096000002
baseline:med42,baseline,random,-35742.71863,-39586.192973000005,10.012,-3507.0251100000023
baseline:med42,baseline,tabu,-35576.919758000004,-35576.919758000004,94.142,-3341.226238000003
baseline:small21,baseline,bayes,15627.570819999995,15613.08188666666,2.7382666666666666,-10.409999999999854
baseline:small21,baseline,grid,15617.024819999995,15600.799319999995,2.81075,-20.95600000000013
baseline:small21,baseline,ils,15637.980819999995,15637.980819999995,8.91,0.0
baseline:small21,baseline,random,15637.606819999994,15632.545819999994,3.1525,-0.37400000000161526
baseline:small21,baseline,tabu,15637.796819999996,15637.796819999996,29.82,-0.18399999999928696
baseline:tiny7,baseline,bayes,4338.516752,4308.655685333334,0.6228666666666667,-10.747999999999593
baseline:tiny7,baseline,grid,4338.516752,4314.5212520000005,0.6184999999999999,-10.747999999999593
baseline:tiny7,baseline,ils,4349.264752,4349.264752,2.339,0.0
baseline:tiny7,baseline,random,4306.522752000001,4306.522752000001,0.5345,-42.74199999999928
baseline:tiny7,baseline,tabu,4349.264752,4349.264752,7.601,0.0
